Subclass	Order	Species	BMR (mlO2/hour)	Body mass for BMR (gr)	Reference for BMR	FMR (kJ/day)	Body mass for FMR (gr)	Reference for FMR
Eutheria	Rodentia	Aethomys namaquensis	56.753	64.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Agouti paca	2746.8	9156	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Akodon albiventer	46.5	31	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Akodon azarae	40.8	24	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Alticola argentatus	121	37.7	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Ammospermophilus leucurus	93.88	95.7	White et al06BiolLett	88	87	Nagy et al99
Eutheria	Rodentia	Aplodontia rufa	277.2	630	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Apodemus flavicollis	43.259	23.9	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Apodemus hermonensis	50.02	20.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Apodemus mystacinus	56.035	40.4	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Apodemus sylvaticus	43.3	23.9	White et al06BiolLett	67.9	20.5	Corp et al99
Eutheria	Rodentia	Arborimus longicaudus	58.86	21.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Arvicola terrestris	106.68	91.97	White et al06BiolLett	119	85.8	Nagy et al99
Eutheria	Rodentia	Auliscomys micropus	97.11	62.3	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Baimomys taylori	17.09	7.15	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Bathyergus janetta	215.18	406	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Bathyergus suillus	303.8	620	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Calomys musculinus	27.6	16.9	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Calomys venustus (Calomys callosus)	74.7	50.1	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Cannomys badius	172	344	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Capromys pilorides	604.9	2630	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Cavia magna	-9999	-9999	-9999	462.9	519.45	Kunkele et al05
Eutheria	Rodentia	Cavia porcellus	346	629	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Chaetodipus baileyi	34.54	29.1	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Chaetodipus californicus	21.34	22	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Chaetodipus fallax	26.852	19.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Chaetodipus formosus (Perognathus formosus)	-9999	-9999	-9999	45.2	17.9	Nagy et al99
Eutheria	Rodentia	Chaetodipus hispidus	49.375	39.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Chaetodipus intermedius	17.865	14.95	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Chaetodipus penicillatus	22.4	16	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Chelemys macronyx	84.32	62	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Chinchilla lanigera	200.2	426	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Chroeomys andinus	64.7	34.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Chroeomys olivaceus (Akodon olivaceus)	49.41	27	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Clethrionomys californicus	61.12	18.3	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Clethrionomys gapperi	49.34	22.25	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Clethrionomys glareolus	63.4	23.4	White&Seymour03PNAS	88	23.4	Nagy et al99
Eutheria	Rodentia	Clethrionomys rufocanus	59.4	27	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Clethrionomys rutilus	77	28	White&Seymour03PNAS	57.6	16	Nagy et al99
Eutheria	Rodentia	Coendou prehensilis	918.4	3280	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Conilurus penicillatus	162.7	213.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Cricetomys gambianus	1140.7	1870	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Cricetulus migratorius	43.91	30.7	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Cricetus cricetus	231.68	362	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Cryptomys bocagei	69.56	94	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Cryptomys damarensis	78.66	138	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Cryptomys hottentotus	67.5	75	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Cryptomys mechowi	160.2	267	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Ctenomys australis	116.62	340	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Ctenomys fulvus	189	300	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Ctenomys maulinus	187.1	215	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Ctenomys opimus	109.7	214	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Ctenomys peruanus	220.5	490	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Ctenomys talarum	109.626	121	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Cynomys ludovicanus	422.67	1112.3	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Dasyprocta azarae	1886	3849	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Dasyprocta leporina	1558.5	2687	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Desmodillus auricularis	87.75	71.93	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Dicrostonyx groenlandicus	98.85	59.62	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Dipodomys agilis	63.63	60.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Dipodomys deserti	92.22	106	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Dipodomys heermanni	73.2	63.3	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Dipodomys merriami	42.46	36.5	White et al06BiolLett	47.6	34.3	Nagy et al99
Eutheria	Rodentia	Dipodomys microps	66.9	57.2	White et al06BiolLett	84.5	57.1	Nagy et al99
Eutheria	Rodentia	Dipodomys nitratoides	46.1	37.8	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Dipodomys ordii	64.21	46.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Dipodomys panamintinus	74.279	64.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Dipus sagitta 	121.154	160	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Dolichotis salinicola	725.9	1613	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Eligmodontia typus	29.93	17.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Epixerus wilsoni	241.5	460	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Erethizon dorsatum	2784	11136	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Euneomys chinchilloides	84.4	65.4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Funisciurus congicus	95.454	112.3	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Funisciurus isabella	102.1	60	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Funisciurus lemnisciatus	89.6	95	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Funisciurus pyrrhopus	181.3	244	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Galea musteloides	264	322	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Geocapromys brownii	736.8	2456	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Geocapromys ingrahami	265.8	775	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Geomys bursaris	137.9	197	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Geomys pinetis	133.15	172.95	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Georychus capensis	115.67	194.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Gerbillurus paeba	34.82	33.9	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Gerbillurus setzeri	37.02	46.1	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Gerbillurus tytonis	31.69	29.9	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Gerbillurus vallinus	34.76	38.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Gerbillus allenbyi	38.8	35.3	White et al06BiolLett	35.6	22.8	Nagy et al99
Eutheria	Rodentia	Gerbillus dasyurus	29.26	27.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Gerbillus gerbillus	42.47	29.7	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Gerbillus henleyi	-9999	-9999	-9999	26.5	9.3	Nagy et al99
Eutheria	Rodentia	Gerbillus nanus	22.15	28.4	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Gerbillus perpallidus	43.5	52.4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Gerbillus pusillus	13.48	12.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Gerbillus pyramidum	81.4	108.5	White et al06BiolLett	45.2	31.8	Nagy et al99
Eutheria	Rodentia	Glaucomys volans	67.46	64.25	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Graomys griseoflavus	83.97	69.4	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Graphiurus ocularis	66.4	67.8	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Heliophobius argentocinereus	74.8	88	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Heliosciurus rufobrachium	133.4	230	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Heterocephalus glaber	20.48	32	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Heteromys anomalus	100.485	69.3	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Heteromys desmarestianus	99.146	75.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Hydrochaeris hydrochaeris	6596.3	26385	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Hydromys chrysogaster	528.3	900	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Hystrix africaeaustralis	2361.702	11300	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Isthmomys pirrensis	121.35	137.9	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Jaculus jaculus	92.25	75	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Jaculus orientalis	139	139	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Kerodon rupestris	360.5	801	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Lagostomus maximus	1899.5	6784	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Lagurus curtatus (Lemmiscus curtatus)	50.3	30.3	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Lemmus lemmus	192	80	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Lemmus sibericus	90.19	50.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Lemniscomys griselda	57.62	47.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Lemniscomys rosalia	61.47	50.53	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Liomys irroratus	53.872	48.1	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Liomys salvani	46.866	43.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Malacothrix typica	20.62	21.7	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Maresomys boliviensis (Auliscomys boliviensis)	110.59	76.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Marmota flaviventris	1546.2	4295	White et al06BiolLett	2430	3190	Nagy et al99
Eutheria	Rodentia	Marmota monax	662.5	2650	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Mastomys (Praomys) natalensis	32.78	41.5	White et al06BiolLett	86.6	57.3	Nagy et al99
Eutheria	Rodentia	Megadontomys thomasi	124.1	110.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Meriones crassus	-9999	-9999	-9999	65	69.2	Nagy et al99
Eutheria	Rodentia	Meriones hurriane	54.51	69	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Meriones tristrami	98.56	112	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Meriones unguiculatus	77.05	67	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Mesocricetus auratus	147	98	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Microcavia niata	175.7	255	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Microdipodops megacephalus	30.173	11	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Microdipodops pallidus	19.76	15.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Micromys minutus	21.08	7.37	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Microtus agrestris	63.6	28	White et al06BiolLett	77.8	26.8	Nagy et al99
Eutheria	Rodentia	Microtus arvalis	62	20	White et al06BiolLett	90	20	Nagy et al99
Eutheria	Rodentia	Microtus breweri	73.81	53.1	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Microtus californicus	68.2	44	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Microtus guentheri	80.154	43.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Microtus longicaudus	67.52	28.55	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Microtus mexicanus	46.94	28.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Microtus montanus	83.33	35.13	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Microtus ochrogaster	79.08	46.7	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Microtus oeconomus	100.93	33.7	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Microtus pennsylvanicus	75.07	38.9	White et al06BiolLett	115	36.9	Nagy et al99
Eutheria	Rodentia	Microtus pinetorum	58.4	25.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Microtus richardsoni	128.02	65.65	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Microtus subterraneus	49.5	17.8	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Microtus townsendii	90.4	52.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Microtus xanthognathus	98.64	68.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Millardia meltada	58.4	67.4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Mus minutoides	24.02	8.06	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Mus musculus	-9999	-9999	-9999	65.1	19.3	Nagy et al99
Eutheria	Rodentia	Mus spretus	61.9	21.8	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Muscardinus avellanarius	62.98	23.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Myoprocta acouchy	502.7	914	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Myopus schisticolor	93.456	26.4	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Myoxus glis	158	200	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Mystromys albicaudatus	126.79	93.78	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Nannospalax ehrenbergi 	104.53	135.15	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Nannospalax leucodon	148.74	201	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Napaeozapus insignis	39.6	22	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Neofiber alleni	216.8	258.1	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Neotoma albigula	134.5	183	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Neotoma cinerea	168.6	205.1	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Neotoma fuscipes	147.73	187	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Neotoma lepida	86.9	110	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Notomys alexis	45.22	32.3	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Notomys cervinus	41.72	34.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Ochrotomys nuttalli	27.11	19.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Octodon bridgesi	183.3	176.1	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Octodon degus	170.24	192.97	White et al06BiolLett	143.2	188.55	Bozinovic et al04
Eutheria	Rodentia	Octodon lunatus	171.5	173.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Octodontomys gliroides	130.7	152	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Octomys mimax	115.04	118.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Oligoryzomys longicaudatus	51.04	28.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Ondatra zibethicus	642.94	1004.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Onychomys torridus	29.6	19.1	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Otomys irroratus	84.864	102	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Otomys sloggetti	133.68	113.29	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Otomys unisulcatus	106.56	96	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Oxymycterus roberti	91.02	83.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Paraxerus cepapi	145.34	223.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Paraxerus palliatus 	260.29	366.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Parotomys brantsii	83.91	86.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Pedetes capensis	793.5	2300	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Perognathus flavus	17.31	8.3	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Perognathus longimembris	9.523	8.9	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Peromyscus californicus	52.36	47.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Peromyscus crinitus	25.12	15.9	White et al06BiolLett	39.3	13.4	Nagy et al99
Eutheria	Rodentia	Peromyscus eremicus	33.11	21.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Peromyscus gossypinus	36.98	21.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Peromyscus leucopus	33.2	20	White et al06BiolLett	41.4	19.2	Nagy et al99
Eutheria	Rodentia	Peromyscus maniculatus	36.88	22.8	White et al06BiolLett	53.4	17.9	Nagy et al99
Eutheria	Rodentia	Peromyscus megalops	90.7	66.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Peromyscus oreas	43.51	24.58	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Peromyscus polionotus	21.5	12	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Peromyscus sitkensis	46.74	28.3	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Peromyscus truei 	50.796	33.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Phenacomys intermedius	67.295	21.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Phodopus sungorus	40.863	25.7	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Phyllotis darwini 	71.39	59	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Phyllotis magister	69	62.8	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Phyllotis xanthopygus	56.65	55	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Podomys floridanus	51.7	30.8	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Proechimys semispinosus	313.7	498	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Psammomys obesus	-9999	-9999	-9999	165	170	Nagy et al99
Eutheria	Rodentia	Pseudomys albocinereus	-9999	-9999	-9999	62.2	32.6	Nagy et al99
Eutheria	Rodentia	Pseudomys gracilicaudus	83.79	79.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Pseudomys hermannsburgensis	23.3	12.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Pseudomys nanus	-9999	-9999	-9999	44.6	44.4	Anderson & Jetz 2005
Eutheria	Rodentia	Rattus colletti	123	165.7	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Rattus fuscipes	84.36	76	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Rattus lutreolus	63.22	109	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Rattus sordidus	106.6	187	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Rattus villosissimus	145.85	250.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Reithrodon auritus	76.8	78.7	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Reithrodontomys megalotis	22.5	9	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Rhabdomys pumilio	32.1	39.6	White et al06BiolLett	64.55	41.7	Scantlebury et al06
Eutheria	Rodentia	Saccostomus campestris	51.49	61.3	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Sciurus carolinensis	369.6	440	White et al06BiolLett	574	588	Bryce et al 2001
Eutheria	Rodentia	Sciurus vulgaris	-9999	-9999	-9999	347	322	Bryce et al 2001
Eutheria	Rodentia	Scotinomys teguina	31.2	12	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Scotinomys xerampelinus	31.92	15.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Sekeetamys calurus	44.4	56.9	White et al06BiolLett	44	41.2	Nagy et al99
Eutheria	Rodentia	Sicista betulina	32	10	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Sigmodon alleni	203.3	137.8	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Sigmodon fulviventer	207.4	137.8	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Sigmodon hispidus	230.4	139.3	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Sigmodon leucotis	186.5	128.6	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Sigmodon ochrognathus	154.2	115.1	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Spalacopus cyanus	106.8	135.33	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Spermophilus armatus	147.2	320	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Spermophilus beecheyi	317.79	599.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Spermophilus beldingi	127.26	303	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Spermophilus citellus	228	240	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Spermophilus lateralis	143.4	237	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Spermophilus mohavensis	112.8	240	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Spermophilus parryi	520	650	White&Seymour03PNAS	817	630	Nagy et al99
Eutheria	Rodentia	Spermophilus richardsoni	131.52	274	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Spermophilus saturatus	161.4	252.2	White&Seymour03PNAS	226	214	Nagy et al99
Eutheria	Rodentia	Spermophilus spilosoma	92.22	174	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Spermophilus tereticaudus	93.52	167	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Spermophilus townsendii	105.34	229	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Spermophilus tridecemlineatus	140.44	205.43	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Spermophilus undulatus	667.08	680	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Steatomys pratensis	18.77	37.54	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Stochomys longicaudatus	97.5	84.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Tachyorcyctes splendens	150.89	191	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Tamias alpinus	57.7	39	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Tamias amoenus	96.27	57.1	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Tamias merriami	78.75	75	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Tamias minimus	72.73	45.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Tamias palmeri	113.1	69.4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Tamias striatus	90	87.4	White et al06BiolLett	143	96.3	Nagy et al99
Eutheria	Rodentia	Tamiasciurus hudsonicus	254.6	228.3	White et al06BiolLett	347	322	Anderson & Jetz 2005
Eutheria	Rodentia	Tatera afra	182.115	106.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Tatera indica	75.7	87	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Tatera leucogaster	132.56	157.62	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Thallomys paedulcus	87.27	132.425	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Thomomys bottae	120.12	143	White et al06BiolLett	130	104	Nagy et al99
Eutheria	Rodentia	Thomomys talpoides	142.04	106.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Thomomys umbrinus	72.25	85	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Thrichomys apereoides	206.7	323	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Tympanoctomys barrerae	77.112	71.4	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Uromys caudimaculatus	570.8	812	White&Seymour03PNAS	-9999	-9999	-9999
